timestamp,datetime,active_links,idle_links,total_links,active_link_percent,fplf_power_watts,baseline_power_watts,energy_saved_watts,energy_saved_percent,cumulative_savings_wh
1763632781.5705314,2025-11-20 15:29:41,2,4,6,33.33,18.00,30.00,12.00,40.00,0.003333
1763632781.5708055,2025-11-20 15:29:41,4,2,6,66.67,24.00,30.00,6.00,20.00,0.005000
1763632781.5717025,2025-11-20 15:29:41,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632782.583623,2025-11-20 15:29:42,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632782.5838284,2025-11-20 15:29:42,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632782.5840833,2025-11-20 15:29:42,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632783.619135,2025-11-20 15:29:43,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632783.6196866,2025-11-20 15:29:43,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632783.6297848,2025-11-20 15:29:43,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632784.6445487,2025-11-20 15:29:44,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632784.6453462,2025-11-20 15:29:44,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632784.645378,2025-11-20 15:29:44,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632785.6368136,2025-11-20 15:29:45,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632785.6928318,2025-11-20 15:29:45,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632785.6929476,2025-11-20 15:29:45,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632786.6552541,2025-11-20 15:29:46,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632786.7029798,2025-11-20 15:29:46,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632786.7033272,2025-11-20 15:29:46,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632787.6789255,2025-11-20 15:29:47,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632787.720055,2025-11-20 15:29:47,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632787.7211022,2025-11-20 15:29:47,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632788.6953182,2025-11-20 15:29:48,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632788.7355242,2025-11-20 15:29:48,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632788.7360146,2025-11-20 15:29:48,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632789.6972601,2025-11-20 15:29:49,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632789.7475302,2025-11-20 15:29:49,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632789.7560956,2025-11-20 15:29:49,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632790.7152658,2025-11-20 15:29:50,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632790.7837014,2025-11-20 15:29:50,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632790.783835,2025-11-20 15:29:50,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632791.7259798,2025-11-20 15:29:51,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632791.7827592,2025-11-20 15:29:51,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632791.7884293,2025-11-20 15:29:51,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632792.7494004,2025-11-20 15:29:52,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632792.7893767,2025-11-20 15:29:52,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632792.7969854,2025-11-20 15:29:52,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632793.7603152,2025-11-20 15:29:53,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632793.7944515,2025-11-20 15:29:53,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632793.7949436,2025-11-20 15:29:53,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632794.767767,2025-11-20 15:29:54,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632794.8230886,2025-11-20 15:29:54,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632794.8243554,2025-11-20 15:29:54,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632795.69734,2025-11-20 15:29:55,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632795.8831897,2025-11-20 15:29:55,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632795.8938346,2025-11-20 15:29:55,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632796.7112646,2025-11-20 15:29:56,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632796.9038498,2025-11-20 15:29:56,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632796.9207733,2025-11-20 15:29:56,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632797.7156065,2025-11-20 15:29:57,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632797.934653,2025-11-20 15:29:57,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632797.9360135,2025-11-20 15:29:57,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632798.7202966,2025-11-20 15:29:58,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632798.9219086,2025-11-20 15:29:58,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632798.922309,2025-11-20 15:29:58,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632799.7422667,2025-11-20 15:29:59,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632799.9458969,2025-11-20 15:29:59,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632799.953851,2025-11-20 15:29:59,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632800.7396781,2025-11-20 15:30:00,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632800.9525192,2025-11-20 15:30:00,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632800.9611454,2025-11-20 15:30:00,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632801.7380059,2025-11-20 15:30:01,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632801.9855042,2025-11-20 15:30:01,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632801.9865751,2025-11-20 15:30:01,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632802.7434523,2025-11-20 15:30:02,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632802.9755664,2025-11-20 15:30:02,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632802.982099,2025-11-20 15:30:02,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632803.7621434,2025-11-20 15:30:03,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632803.9718535,2025-11-20 15:30:03,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632803.981686,2025-11-20 15:30:03,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632804.75328,2025-11-20 15:30:04,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632805.038171,2025-11-20 15:30:05,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632805.0745063,2025-11-20 15:30:05,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632805.7566085,2025-11-20 15:30:05,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632805.9143972,2025-11-20 15:30:05,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632806.1672106,2025-11-20 15:30:06,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632806.7974768,2025-11-20 15:30:06,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632806.9223568,2025-11-20 15:30:06,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632807.129083,2025-11-20 15:30:07,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632807.8068306,2025-11-20 15:30:07,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632807.947334,2025-11-20 15:30:07,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632808.1453629,2025-11-20 15:30:08,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632808.8154263,2025-11-20 15:30:08,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632808.946882,2025-11-20 15:30:08,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632809.154832,2025-11-20 15:30:09,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632809.839483,2025-11-20 15:30:09,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632809.9688225,2025-11-20 15:30:09,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632810.1689098,2025-11-20 15:30:10,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632810.842925,2025-11-20 15:30:10,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632810.976082,2025-11-20 15:30:10,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632811.1899674,2025-11-20 15:30:11,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632811.861999,2025-11-20 15:30:11,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632811.9909413,2025-11-20 15:30:11,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632812.1902297,2025-11-20 15:30:12,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632812.8551877,2025-11-20 15:30:12,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632812.9849565,2025-11-20 15:30:12,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632813.179686,2025-11-20 15:30:13,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632813.8753016,2025-11-20 15:30:13,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632814.0033987,2025-11-20 15:30:14,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632814.189233,2025-11-20 15:30:14,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632814.8831425,2025-11-20 15:30:14,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632815.0394628,2025-11-20 15:30:15,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632815.3663158,2025-11-20 15:30:15,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632815.8632421,2025-11-20 15:30:15,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632815.9551632,2025-11-20 15:30:15,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632816.5447555,2025-11-20 15:30:16,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632816.860375,2025-11-20 15:30:16,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632816.8604128,2025-11-20 15:30:16,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632817.844054,2025-11-20 15:30:17,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632817.8465872,2025-11-20 15:30:17,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632817.8565536,2025-11-20 15:30:17,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632818.4812799,2025-11-20 15:30:18,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632818.8645697,2025-11-20 15:30:18,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632818.8740585,2025-11-20 15:30:18,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632819.5583737,2025-11-20 15:30:19,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632819.8642676,2025-11-20 15:30:19,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632819.8671641,2025-11-20 15:30:19,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632820.4871175,2025-11-20 15:30:20,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632820.8734858,2025-11-20 15:30:20,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632820.8823771,2025-11-20 15:30:20,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632821.4922163,2025-11-20 15:30:21,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632821.8821933,2025-11-20 15:30:21,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632821.8929105,2025-11-20 15:30:21,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632822.506755,2025-11-20 15:30:22,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632822.8945699,2025-11-20 15:30:22,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632822.9042995,2025-11-20 15:30:22,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632823.4984832,2025-11-20 15:30:23,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632823.909594,2025-11-20 15:30:23,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632823.9184067,2025-11-20 15:30:23,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632824.5292437,2025-11-20 15:30:24,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632824.9228306,2025-11-20 15:30:24,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632824.9242797,2025-11-20 15:30:24,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632825.5145395,2025-11-20 15:30:25,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632825.9285176,2025-11-20 15:30:25,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632825.937365,2025-11-20 15:30:25,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632826.5264878,2025-11-20 15:30:26,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632826.9396038,2025-11-20 15:30:26,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632826.9488013,2025-11-20 15:30:26,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632827.5505605,2025-11-20 15:30:27,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632827.950908,2025-11-20 15:30:27,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632827.9514105,2025-11-20 15:30:27,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632828.557554,2025-11-20 15:30:28,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632828.9556682,2025-11-20 15:30:28,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632828.9573295,2025-11-20 15:30:28,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632829.5488255,2025-11-20 15:30:29,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632829.967207,2025-11-20 15:30:29,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632829.9747818,2025-11-20 15:30:29,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632830.5730598,2025-11-20 15:30:30,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632830.9760816,2025-11-20 15:30:30,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632830.9763682,2025-11-20 15:30:30,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632831.610307,2025-11-20 15:30:31,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632831.9913812,2025-11-20 15:30:31,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632831.991916,2025-11-20 15:30:31,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632832.6581953,2025-11-20 15:30:32,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632832.984756,2025-11-20 15:30:32,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632832.9918904,2025-11-20 15:30:32,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632833.5876894,2025-11-20 15:30:33,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632834.0066502,2025-11-20 15:30:34,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763632834.021096,2025-11-20 15:30:34,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
