timestamp,src_dpid,dst_dpid,baseline_path,fplf_path,traffic_type,priority,base_weights,adjusted_weights,route_changed
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
2025-11-20 15:29:54,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93399284362795],[526.9196800994873],NO
