timestamp,link,utilization_percent,weight
2025-11-20 15:29:44,s1-s2,1.47,498.9347100830078
2025-11-20 15:29:44,s2-s1,1.46,498.9347100830078
2025-11-20 15:29:44,s2-s3,1.47,498.93468948364256
2025-11-20 15:29:44,s3-s2,1.48,498.93468948364256
2025-11-20 15:29:44,s1-s3,1.48,498.934772644043
2025-11-20 15:29:44,s3-s1,1.48,498.934772644043
2025-11-20 15:29:47,s1-s2,1.40,498.9339939117432
2025-11-20 15:29:47,s2-s1,1.42,498.9339939117432
2025-11-20 15:29:47,s2-s3,1.42,498.934218673706
2025-11-20 15:29:47,s3-s2,1.42,498.934218673706
2025-11-20 15:29:47,s1-s3,1.40,498.9340454101563
2025-11-20 15:29:47,s3-s1,1.42,498.9340454101563
2025-11-20 15:29:50,s1-s2,1.43,498.934299697876
2025-11-20 15:29:50,s2-s1,1.43,498.934299697876
2025-11-20 15:29:50,s2-s3,1.43,498.93426467895506
2025-11-20 15:29:50,s3-s2,1.43,498.93426467895506
2025-11-20 15:29:50,s1-s3,1.44,498.9343772125244
2025-11-20 15:29:50,s3-s1,1.44,498.9343772125244
2025-11-20 15:29:54,s1-s2,1.37,498.93371788024905
2025-11-20 15:29:54,s2-s1,1.37,498.93371788024905
2025-11-20 15:29:54,s2-s3,1.37,498.9336769104004
2025-11-20 15:29:54,s3-s2,1.40,498.9336769104004
2025-11-20 15:29:54,s1-s3,1.37,498.9336791992188
2025-11-20 15:29:54,s3-s1,1.40,498.9336791992188
2025-11-20 15:29:57,s1-s2,10.89,1000
2025-11-20 15:29:57,s2-s1,10.88,1000
2025-11-20 15:29:57,s2-s3,1.27,498.9326779937744
2025-11-20 15:29:57,s3-s2,1.26,498.9326779937744
2025-11-20 15:29:57,s1-s3,1.28,498.9328067016602
2025-11-20 15:29:57,s3-s1,1.28,498.9328067016602
2025-11-20 15:30:00,s1-s2,10.93,1000
2025-11-20 15:30:00,s2-s1,10.92,1000
2025-11-20 15:30:00,s2-s3,1.29,498.93288665771485
2025-11-20 15:30:00,s3-s2,1.29,498.93288665771485
2025-11-20 15:30:00,s1-s3,1.28,498.9327880859375
2025-11-20 15:30:00,s3-s1,1.28,498.9327880859375
2025-11-20 15:30:04,s1-s2,10.92,1000
2025-11-20 15:30:04,s2-s1,10.94,1000
2025-11-20 15:30:04,s2-s3,1.34,498.9334210205078
2025-11-20 15:30:04,s3-s2,1.34,498.9334210205078
2025-11-20 15:30:04,s1-s3,1.33,498.93332252502444
2025-11-20 15:30:04,s3-s1,1.36,498.93332252502444
2025-11-20 15:30:07,s1-s2,10.95,1000
2025-11-20 15:30:07,s2-s1,10.87,1000
2025-11-20 15:30:07,s2-s3,10.90,1000
2025-11-20 15:30:07,s3-s2,10.91,1000
2025-11-20 15:30:07,s1-s3,10.94,1000
2025-11-20 15:30:07,s3-s1,10.91,1000
2025-11-20 15:30:11,s1-s2,10.91,1000
2025-11-20 15:30:11,s2-s1,10.89,1000
2025-11-20 15:30:11,s2-s3,10.90,1000
2025-11-20 15:30:11,s3-s2,10.92,1000
2025-11-20 15:30:11,s1-s3,10.93,1000
2025-11-20 15:30:11,s3-s1,10.91,1000
2025-11-20 15:30:14,s1-s2,11.00,1000
2025-11-20 15:30:14,s2-s1,10.99,1000
2025-11-20 15:30:14,s2-s3,10.97,1000
2025-11-20 15:30:14,s3-s2,10.94,1000
2025-11-20 15:30:14,s1-s3,11.01,1000
2025-11-20 15:30:14,s3-s1,10.91,1000
2025-11-20 15:30:17,s1-s2,25.72,1000
2025-11-20 15:30:17,s2-s1,17.40,1000
2025-11-20 15:30:17,s2-s3,3.68,498.9568396759033
2025-11-20 15:30:17,s3-s2,2.93,498.9568396759033
2025-11-20 15:30:17,s1-s3,2.93,498.94929214477537
2025-11-20 15:30:17,s3-s1,2.93,498.94929214477537
2025-11-20 15:30:21,s1-s2,21.92,1000
2025-11-20 15:30:21,s2-s1,21.92,1000
2025-11-20 15:30:21,s2-s3,3.58,498.9557833099365
