timestamp,datetime,active_links,idle_links,total_links,active_link_percent,fplf_power_watts,baseline_power_watts,energy_saved_watts,energy_saved_percent,cumulative_savings_wh
1763633862.6671119,2025-11-20 15:47:42,2,4,6,33.33,18.00,30.00,12.00,40.00,0.003333
1763633862.6672676,2025-11-20 15:47:42,4,2,6,66.67,24.00,30.00,6.00,20.00,0.005000
1763633862.6677642,2025-11-20 15:47:42,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633863.695264,2025-11-20 15:47:43,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633863.70675,2025-11-20 15:47:43,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633863.7102218,2025-11-20 15:47:43,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633864.7143934,2025-11-20 15:47:44,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633864.7629027,2025-11-20 15:47:44,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633864.7644987,2025-11-20 15:47:44,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633865.7641726,2025-11-20 15:47:45,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633865.7826653,2025-11-20 15:47:45,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633865.7852366,2025-11-20 15:47:45,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633866.7858217,2025-11-20 15:47:46,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633866.816667,2025-11-20 15:47:46,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633866.8168051,2025-11-20 15:47:46,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633867.8045292,2025-11-20 15:47:47,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633867.826782,2025-11-20 15:47:47,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633867.8432477,2025-11-20 15:47:47,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633868.8324687,2025-11-20 15:47:48,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633868.8511667,2025-11-20 15:47:48,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633868.883262,2025-11-20 15:47:48,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633869.8449695,2025-11-20 15:47:49,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633869.8694828,2025-11-20 15:47:49,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633869.869768,2025-11-20 15:47:49,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633870.850734,2025-11-20 15:47:50,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633870.8836222,2025-11-20 15:47:50,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633870.8849888,2025-11-20 15:47:50,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633871.8749485,2025-11-20 15:47:51,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633871.8918254,2025-11-20 15:47:51,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633871.8918605,2025-11-20 15:47:51,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633872.8816433,2025-11-20 15:47:52,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633872.9236586,2025-11-20 15:47:52,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633872.9329278,2025-11-20 15:47:52,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633873.8946974,2025-11-20 15:47:53,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633873.970951,2025-11-20 15:47:53,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633873.978934,2025-11-20 15:47:53,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633874.9062707,2025-11-20 15:47:54,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633874.952995,2025-11-20 15:47:54,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633874.9530337,2025-11-20 15:47:54,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633875.9454527,2025-11-20 15:47:55,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633876.0013623,2025-11-20 15:47:56,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633876.0022328,2025-11-20 15:47:56,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633876.926183,2025-11-20 15:47:56,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633876.9837813,2025-11-20 15:47:56,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633876.9849336,2025-11-20 15:47:56,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633877.9765496,2025-11-20 15:47:57,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633878.0021098,2025-11-20 15:47:58,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633878.0132964,2025-11-20 15:47:58,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633879.0020096,2025-11-20 15:47:59,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633879.0288467,2025-11-20 15:47:59,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633879.038135,2025-11-20 15:47:59,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633880.010566,2025-11-20 15:48:00,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633880.0585868,2025-11-20 15:48:00,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633880.0602982,2025-11-20 15:48:00,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633880.998977,2025-11-20 15:48:00,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633881.0494204,2025-11-20 15:48:01,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633881.0616536,2025-11-20 15:48:01,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633881.9891074,2025-11-20 15:48:01,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633882.0544896,2025-11-20 15:48:02,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633882.0667453,2025-11-20 15:48:02,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633883.0022538,2025-11-20 15:48:03,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633883.0627456,2025-11-20 15:48:03,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633883.0767694,2025-11-20 15:48:03,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633884.0195804,2025-11-20 15:48:04,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633884.1029468,2025-11-20 15:48:04,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633884.1208603,2025-11-20 15:48:04,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633885.0006323,2025-11-20 15:48:05,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
1763633885.0830631,2025-11-20 15:48:05,6,0,6,100.00,30.00,30.00,0.00,0.00,0.005000
