timestamp,link,utilization_percent,weight
2025-11-20 15:47:45,s1-s2,1.43,498.93431213378904
2025-11-20 15:47:45,s2-s1,1.46,498.93431213378904
2025-11-20 15:47:45,s2-s3,1.47,498.9346630859375
2025-11-20 15:47:45,s3-s2,1.45,498.9346630859375
2025-11-20 15:47:45,s1-s3,1.46,498.9346055603027
2025-11-20 15:47:45,s3-s1,1.46,498.9346055603027
2025-11-20 15:47:48,s1-s2,1.33,498.9333084869385
2025-11-20 15:47:48,s2-s1,1.33,498.9333084869385
2025-11-20 15:47:48,s2-s3,1.35,498.9334616088867
2025-11-20 15:47:48,s3-s2,1.31,498.9334616088867
2025-11-20 15:47:48,s1-s3,1.34,498.9334240722656
2025-11-20 15:47:48,s3-s1,1.31,498.9334240722656
2025-11-20 15:47:51,s1-s2,1.34,498.9333897399902
2025-11-20 15:47:51,s2-s1,1.34,498.9333897399902
2025-11-20 15:47:51,s2-s3,1.34,498.93337005615234
2025-11-20 15:47:51,s3-s2,1.34,498.93337005615234
2025-11-20 15:47:51,s1-s3,1.33,498.9333299255371
2025-11-20 15:47:51,s3-s1,1.33,498.9333299255371
2025-11-20 15:47:55,s1-s2,1.31,498.93312911987306
2025-11-20 15:47:55,s2-s1,13.78,498.93312911987306
2025-11-20 15:47:55,s2-s3,1.33,498.93332473754884
2025-11-20 15:47:55,s3-s2,1.30,498.93332473754884
2025-11-20 15:47:55,s1-s3,1.31,498.9330896759033
2025-11-20 15:47:55,s3-s1,1.31,498.9330896759033
2025-11-20 15:47:59,s1-s2,94.44,1000
2025-11-20 15:47:59,s2-s1,94.41,1000
2025-11-20 15:47:59,s2-s3,1.31,498.93314186096194
2025-11-20 15:47:59,s3-s2,1.39,498.93314186096194
2025-11-20 15:47:59,s1-s3,1.33,498.9332971954346
2025-11-20 15:47:59,s3-s1,1.37,498.9332971954346
2025-11-20 15:48:02,s1-s2,94.22,1000
2025-11-20 15:48:02,s2-s1,94.23,1000
2025-11-20 15:48:02,s2-s3,8.96,1000
2025-11-20 15:48:02,s3-s2,8.96,1000
2025-11-20 15:48:02,s1-s3,8.95,1000
2025-11-20 15:48:02,s3-s1,8.95,1000
2025-11-20 15:48:06,s1-s2,94.14,1000
2025-11-20 15:48:06,s2-s1,94.37,1000
2025-11-20 15:48:06,s2-s3,17.07,1000
2025-11-20 15:48:06,s3-s2,6.31,1000
2025-11-20 15:48:06,s1-s3,6.29,498.98293800354
2025-11-20 15:48:06,s3-s1,6.32,498.98293800354
2025-11-20 15:48:09,s1-s2,94.14,1000
2025-11-20 15:48:09,s2-s1,94.84,1000
2025-11-20 15:48:09,s2-s3,94.94,1000
2025-11-20 15:48:09,s3-s2,94.86,1000
2025-11-20 15:48:09,s1-s3,94.35,1000
2025-11-20 15:48:09,s3-s1,94.85,1000
2025-11-20 15:48:12,s1-s2,90.84,1000
2025-11-20 15:48:12,s2-s1,91.04,1000
2025-11-20 15:48:12,s2-s3,94.91,1000
2025-11-20 15:48:12,s3-s2,94.86,1000
2025-11-20 15:48:12,s1-s3,94.72,1000
2025-11-20 15:48:12,s3-s1,94.88,1000
2025-11-20 15:48:16,s1-s2,92.07,1000
2025-11-20 15:48:16,s2-s1,92.13,1000
2025-11-20 15:48:16,s2-s3,94.75,1000
2025-11-20 15:48:16,s3-s2,94.78,1000
2025-11-20 15:48:16,s1-s3,94.75,1000
2025-11-20 15:48:16,s3-s1,94.75,1000
2025-11-20 15:48:19,s1-s2,1.33,498.93334678649904
2025-11-20 15:48:19,s2-s1,1.33,498.93334678649904
2025-11-20 15:48:19,s2-s3,10.80,1000
2025-11-20 15:48:19,s3-s2,89.01,1000
2025-11-20 15:48:19,s1-s3,10.83,1000
2025-11-20 15:48:19,s3-s1,89.25,1000
2025-11-20 15:48:22,s1-s2,1.34,498.93337577819824
2025-11-20 15:48:22,s2-s1,1.34,498.93337577819824
2025-11-20 15:48:22,s2-s3,1.34,498.93340896606446
2025-11-20 15:48:22,s3-s2,1.34,498.93340896606446
2025-11-20 15:48:22,s1-s3,1.34,498.93342964172365
2025-11-20 15:48:22,s3-s1,1.34,498.93342964172365
2025-11-20 15:48:26,s1-s2,1.30,498.93297004699707
2025-11-20 15:48:26,s2-s1,1.31,498.93297004699707
2025-11-20 15:48:26,s2-s3,1.31,498.93307258605955
2025-11-20 15:48:26,s3-s2,1.29,498.93307258605955
2025-11-20 15:48:26,s1-s3,1.30,498.93303398132326
2025-11-20 15:48:26,s3-s1,1.30,498.93303398132326
2025-11-20 15:48:29,s1-s2,1.32,498.93318244934085
2025-11-20 15:48:29,s2-s1,1.32,498.93318244934085
2025-11-20 15:48:29,s2-s3,1.32,498.93318016052245
2025-11-20 15:48:29,s3-s2,1.31,498.93318016052245
2025-11-20 15:48:29,s1-s3,1.32,498.9331844329834
2025-11-20 15:48:29,s3-s1,1.31,498.9331844329834
2025-11-20 15:48:32,s1-s2,1.24,498.932359085083
2025-11-20 15:48:32,s2-s1,1.24,498.932359085083
