timestamp,src_dpid,dst_dpid,baseline_path,fplf_path,traffic_type,priority,base_weights,adjusted_weights,route_changed
2025-11-21 01:21:40,2,3,s2 -> s7 -> s3,s2 -> s7 -> s3,SSH,3,"[498.924669418335, 498.9246834564209]","[503.5940877532959, 503.60813987731933]",NO
2025-11-21 01:21:40,2,4,s2 -> s7 -> s4,s2 -> s7 -> s4,FTP,1,"[498.924669418335, 498.9238471984863]","[499.3916112518311, 499.30856704711914]",NO
2025-11-21 01:21:40,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,VIDEO,4,"[498.92454078674314, 498.9256987762451, 498.9238471984863]","[508.00611427307126, 510.3232512664795, 506.6182441711426]",YES
2025-11-21 01:21:40,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,VIDEO,4,"[498.92454078674314, 498.9256987762451, 498.9238471984863]","[508.00611427307126, 510.3232512664795, 506.6182441711426]",YES
2025-11-21 01:21:40,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,HTTP,2,"[498.92454078674314, 498.9256987762451, 498.9238471984863]","[501.19493415832517, 501.7750868988037, 500.8474464416504]",YES
2025-11-21 01:21:41,2,4,s2 -> s7 -> s4,s2 -> s7 -> s4,FTP,1,"[498.924905166626, 1000]","[499.41542182922365, 1028.6838607788086]",NO
2025-11-21 01:21:41,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,VIDEO,4,"[498.92431983947756, 498.9256987762451, 1000]","[507.5639987945557, 510.3232512664795, 1573.6772155761719]",YES
2025-11-21 01:21:41,2,3,s2 -> s7 -> s3,s2 -> s7 -> s3,SSH,3,"[498.924905166626, 498.92434867858884]","[503.83007179260255, 503.27302726745603]",NO
2025-11-21 01:21:41,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,HTTP,2,"[498.92431983947756, 498.9256987762451, 1000]","[501.0842395782471, 501.7750868988037, 1143.419303894043]",YES
2025-11-21 01:21:41,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,VIDEO,4,"[498.92431983947756, 498.9256987762451, 1000]","[507.5639987945557, 510.3232512664795, 1573.6772155761719]",YES
2025-11-21 01:21:43,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,VIDEO,4,"[498.92431983947756, 498.9254186248779, 1000]","[507.5639987945557, 509.7626683807373, 1585.0225830078125]",YES
2025-11-21 01:21:43,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,HTTP,2,"[498.92431983947756, 498.9254186248779, 1000]","[501.0842395782471, 501.63473106384276, 1146.2556457519531]",YES
2025-11-21 01:21:43,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,VIDEO,4,"[498.92431983947756, 498.9254186248779, 1000]","[507.5639987945557, 509.7626683807373, 1585.0225830078125]",YES
2025-11-21 01:21:43,2,4,s2 -> s7 -> s4,s2 -> s7 -> s4,FTP,1,"[498.924538192749, 1000]","[499.37835746765137, 1029.2511291503906]",NO
2025-11-21 01:21:43,2,3,s2 -> s7 -> s3,s2 -> s7 -> s3,SSH,3,"[498.924538192749, 498.9252854919434]","[503.46273094177246, 504.21077743530276]",NO
2025-11-21 01:21:45,1,4,s1 -> s6 -> s7 -> s4,s1 -> s6 -> s7 -> s4,HTTP,2,"[498.92508728027343, 498.9254296875, 1000]","[501.4687274169922, 501.6402734375, 1138.7812423706055]",NO
2025-11-21 01:21:45,1,4,s1 -> s6 -> s7 -> s4,s1 -> s6 -> s7 -> s4,VIDEO,4,"[498.92508728027343, 498.9254296875, 1000]","[509.09964782714843, 509.7848046875, 1555.1249694824219]",NO
2025-11-21 01:21:45,1,4,s1 -> s6 -> s7 -> s4,s1 -> s6 -> s7 -> s4,VIDEO,4,"[498.92508728027343, 498.9254296875, 1000]","[509.09964782714843, 509.7848046875, 1555.1249694824219]",NO
2025-11-21 01:21:45,2,4,s2 -> s7 -> s4,s2 -> s7 -> s4,FTP,1,"[498.92504066467285, 1000]","[499.429107131958, 1027.756248474121]",NO
2025-11-21 01:21:45,2,3,s2 -> s7 -> s3,s2 -> s7 -> s3,SSH,3,"[498.92504066467285, 498.9250456237793]","[503.9657053375244, 503.97066940307616]",NO
2025-11-21 01:21:47,1,4,s1 -> s6 -> s7 -> s4,s1 -> s6 -> s7 -> s4,HTTP,2,"[498.92494117736817, 498.9254296875, 1000]","[501.3955298614502, 501.6402734375, 1143.8070678710938]",NO
2025-11-21 01:21:47,1,4,s1 -> s6 -> s7 -> s4,s1 -> s6 -> s7 -> s4,VIDEO,4,"[498.92494117736817, 498.9254296875, 1000]","[508.8072959136963, 509.7848046875, 1575.228271484375]",NO
2025-11-21 01:21:47,1,4,s1 -> s6 -> s7 -> s4,s1 -> s6 -> s7 -> s4,VIDEO,4,"[498.92494117736817, 498.9254296875, 1000]","[508.8072959136963, 509.7848046875, 1575.228271484375]",NO
2025-11-21 01:21:47,2,4,s2 -> s7 -> s4,s2 -> s7 -> s4,FTP,1,"[498.92507804870604, 1000]","[499.4328829193115, 1028.7614135742188]",NO
2025-11-21 01:21:47,2,3,s2 -> s7 -> s3,s2 -> s7 -> s3,SSH,3,"[498.92507804870604, 498.92494331359865]","[504.00312675476073, 503.86825691223146]",NO
2025-11-21 01:21:48,1,4,s1 -> s6 -> s7 -> s4,s1 -> s5 -> s7 -> s4,HTTP,2,"[498.924857711792, 498.9251342773438, 1000]","[501.3537136077881, 501.4922729492188, 1139.008903503418]",YES
