timestamp,link,utilization_percent,weight
2025-11-21 01:21:23,s5-s1,0.04,498.9242193603516
2025-11-21 01:21:23,s1-s5,0.42,498.9242193603516
2025-11-21 01:21:23,s5-s2,0.04,498.92438179016114
2025-11-21 01:21:23,s2-s5,0.44,498.92438179016114
2025-11-21 01:21:23,s6-s3,0.03,498.92032318115236
2025-11-21 01:21:23,s3-s6,0.03,498.92032318115236
2025-11-21 01:21:23,s6-s5,0.03,498.9203237915039
2025-11-21 01:21:23,s5-s6,0.03,498.9203237915039
2025-11-21 01:21:23,s6-s1,0.03,498.92435501098635
2025-11-21 01:21:23,s1-s6,0.44,498.92435501098635
2025-11-21 01:21:23,s7-s6,0.03,498.9202703857422
2025-11-21 01:21:23,s6-s7,0.03,498.9202703857422
2025-11-21 01:21:23,s7-s4,0.03,498.9234093475342
2025-11-21 01:21:23,s4-s7,0.34,498.9234093475342
2025-11-21 01:21:23,s7-s2,0.03,498.9242504119873
2025-11-21 01:21:23,s2-s7,0.43,498.9242504119873
2025-11-21 01:21:23,s7-s3,0.04,498.9203369140625
2025-11-21 01:21:23,s3-s7,0.03,498.9203369140625
2025-11-21 01:21:23,s7-s5,0.04,498.92035751342775
2025-11-21 01:21:23,s5-s7,0.04,498.92035751342775
2025-11-21 01:21:26,s5-s1,0.44,498.92516059875487
2025-11-21 01:21:26,s1-s5,0.52,498.92516059875487
2025-11-21 01:21:26,s5-s2,0.45,498.925139541626
2025-11-21 01:21:26,s2-s5,0.51,498.925139541626
2025-11-21 01:21:26,s6-s3,0.44,498.92497283935546
2025-11-21 01:21:26,s3-s6,0.50,498.92497283935546
2025-11-21 01:21:26,s6-s5,0.47,498.9248302459717
2025-11-21 01:21:26,s5-s6,0.48,498.9248302459717
2025-11-21 01:21:26,s6-s1,0.44,498.92502479553224
2025-11-21 01:21:26,s1-s6,0.50,498.92502479553224
2025-11-21 01:21:26,s7-s6,0.49,498.92477500915527
2025-11-21 01:21:26,s6-s7,0.48,498.92477500915527
2025-11-21 01:21:26,s7-s4,0.34,498.9238698577881
2025-11-21 01:21:26,s4-s7,0.39,498.9238698577881
2025-11-21 01:21:26,s7-s2,0.44,498.92524154663084
2025-11-21 01:21:26,s2-s7,0.52,498.92524154663084
2025-11-21 01:21:26,s7-s3,0.43,498.9252198028564
2025-11-21 01:21:26,s3-s7,0.52,498.9252198028564
2025-11-21 01:21:26,s7-s5,0.48,498.9246706390381
2025-11-21 01:21:26,s5-s7,0.47,498.9246706390381
2025-11-21 01:21:28,s5-s1,0.50,498.92504776000976
2025-11-21 01:21:28,s1-s5,0.50,498.92504776000976
2025-11-21 01:21:28,s5-s2,0.50,498.9249827575684
2025-11-21 01:21:28,s2-s5,0.50,498.9249827575684
2025-11-21 01:21:28,s6-s3,0.51,498.9248284912109
2025-11-21 01:21:28,s3-s6,0.48,498.9248284912109
2025-11-21 01:21:28,s6-s5,0.58,498.92564094543457
2025-11-21 01:21:28,s5-s6,0.56,498.92564094543457
2025-11-21 01:21:28,s6-s1,0.51,498.92506317138674
2025-11-21 01:21:28,s1-s6,0.51,498.92506317138674
2025-11-21 01:21:28,s7-s6,0.56,498.925816116333
2025-11-21 01:21:28,s6-s7,0.58,498.925816116333
2025-11-21 01:21:28,s7-s4,0.39,498.9239102935791
2025-11-21 01:21:28,s4-s7,0.39,498.9239102935791
2025-11-21 01:21:28,s7-s2,0.51,498.9250361633301
2025-11-21 01:21:28,s2-s7,0.50,498.9250361633301
2025-11-21 01:21:28,s7-s3,0.51,498.9250761413574
2025-11-21 01:21:28,s3-s7,0.51,498.9250761413574
2025-11-21 01:21:28,s7-s5,0.56,498.9256385040283
2025-11-21 01:21:28,s5-s7,0.56,498.9256385040283
2025-11-21 01:21:31,s5-s1,0.50,498.9252095794678
2025-11-21 01:21:31,s1-s5,0.52,498.9252095794678
2025-11-21 01:21:31,s5-s2,0.50,498.9249510192871
2025-11-21 01:21:31,s2-s5,0.50,498.9249510192871
2025-11-21 01:21:31,s6-s3,0.51,498.9250668334961
